CLASS_NAME,DEPT,COURSE_NUM,COURSE_TOPIC
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Introduction to African-American and African Studies II,AAS,1020,
Black Femininities and Masculinities in the US Media,AAS,2224,
Black Femininities and Masculinities in the US Media,AAS,2224,
Black Femininities and Masculinities in the US Media,AAS,2224,
New Course in African and African American Studies,AAS,2559,Reckoning with Slavery
New Course in African and African American Studies,AAS,2559,The Souls of Black Folk
"Martin, Malcolm and America",AAS,3200,
Social Science Perspectives on African American and African Studies,AAS,3300,
Intermediate Seminar in African-American & African Studies,AAS,3500,Making Race
Intermediate Seminar in African-American & African Studies,AAS,3500,Aesthetics of Black Cinema
Intermediate Seminar in African-American & African Studies,AAS,3500,Environmental Justice Across the Globe
Intermediate Seminar in African-American & African Studies,AAS,3500,"Race, Law & the American Constitution"
Intermediate Seminar in African-American & African Studies,AAS,3500,African American Health Professionals
Intermediate Seminar in African-American & African Studies,AAS,3500,Introduction to Caribbean Studies
Intermediate Seminar in African-American & African Studies,AAS,3500,"Practice of Black, Indigenous & Latinx Performance"
Intermediate Seminar in African-American & African Studies,AAS,3500,Black (In)Visibilities: The Look and Sound of Race
"Race, Culture and Inequality",AAS,3810,
"Being Human: Race, Technology, and the Arts",AAS,3830,
Thesis,AAS,4080,
Thesis,AAS,4080,
Thesis,AAS,4080,
Advanced Research Seminar in African-American & African Studies,AAS,4570,Caribbean Sci-Fi
Queer Africas,AAS,4725,
Independent Study,AAS,4993,
Independent Study,AAS,4993,
New Course in African and African American Studies,AAS,5559,Introduction to Africana Studies
Introductory Accounting I,ACCT,2010,
Introductory Accounting II,ACCT,2020,
Intermediate Accounting I,ACCT,3110,
Intermediate Accounting II,ACCT,3120,
Cost Accounting,ACCT,3140,
Federal Taxation I,ACCT,4450,
Advanced Auditing,ACCT,5250,
Selected Topics in Advanced Accounting,ACCT,5310,
Fraud Examination,ACCT,5410,
Federal Taxation II,ACCT,5460,
Leadership Laboratory,AIRS,100,
The Foundations of the U.S. Air Force,AIRS,1200,
The Foundations of the U.S. Air Force,AIRS,1200,
The Evolution of Air and Space Power,AIRS,2200,
The Evolution of Air and Space Power,AIRS,2200,
Concepts of Air Force Leadership and Management,AIRS,3200,
Concepts of Air Force Leadership and Management,AIRS,3200,
National Security Affairs/Preparation for Active Duty,AIRS,4200,
National Security Affairs/Preparation for Active Duty,AIRS,4200,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Design Development Studio,ALAR,8020,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Thesis II,ALAR,8995,
Non-Topical Design Research-Masters,ALAR,8999,
Non-Topical Design Research-Masters,ALAR,8999,
New Course in American Studies,AMST,1559,The Aftermath of Slavery at UVA and in Virginia
New Course in American Studies,AMST,2559,Global America
New Course in American Studies,AMST,2559,Latinx Spiritualities
New Course in American Studies,AMST,2559,Thomas Jefferson & American Architecture
