CLASS_NAME,DEPT,COURSE_NUM,COURSE_TOPIC,FULL_ID
Introduction to African-American and African Studies II,AAS,1020,,Introduction to African-American and African Studies IIAAS1020
Black Femininities and Masculinities in the US Media,AAS,2224,,Black Femininities and Masculinities in the US MediaAAS2224
New Course in African and African American Studies,AAS,2559,Reckoning with Slavery,New Course in African and African American StudiesAAS2559Reckoning with Slavery
New Course in African and African American Studies,AAS,2559,The Souls of Black Folk,New Course in African and African American StudiesAAS2559The Souls of Black Folk
"Martin, Malcolm and America",AAS,3200,,"Martin, Malcolm and AmericaAAS3200"
Social Science Perspectives on African American and African Studies,AAS,3300,,Social Science Perspectives on African American and African StudiesAAS3300
Intermediate Seminar in African-American & African Studies,AAS,3500,Making Race,Intermediate Seminar in African-American & African StudiesAAS3500Making Race
Intermediate Seminar in African-American & African Studies,AAS,3500,Aesthetics of Black Cinema,Intermediate Seminar in African-American & African StudiesAAS3500Aesthetics of Black Cinema
Intermediate Seminar in African-American & African Studies,AAS,3500,Environmental Justice Across the Globe,Intermediate Seminar in African-American & African StudiesAAS3500Environmental Justice Across the Globe
Intermediate Seminar in African-American & African Studies,AAS,3500,"Race, Law & the American Constitution","Intermediate Seminar in African-American & African StudiesAAS3500Race, Law & the American Constitution"
Intermediate Seminar in African-American & African Studies,AAS,3500,African American Health Professionals,Intermediate Seminar in African-American & African StudiesAAS3500African American Health Professionals
Intermediate Seminar in African-American & African Studies,AAS,3500,Introduction to Caribbean Studies,Intermediate Seminar in African-American & African StudiesAAS3500Introduction to Caribbean Studies
Intermediate Seminar in African-American & African Studies,AAS,3500,"Practice of Black, Indigenous & Latinx Performance","Intermediate Seminar in African-American & African StudiesAAS3500Practice of Black, Indigenous & Latinx Performance"
Intermediate Seminar in African-American & African Studies,AAS,3500,Black (In)Visibilities: The Look and Sound of Race,Intermediate Seminar in African-American & African StudiesAAS3500Black (In)Visibilities: The Look and Sound of Race
"Race, Culture and Inequality",AAS,3810,,"Race, Culture and InequalityAAS3810"
"Being Human: Race, Technology, and the Arts",AAS,3830,,"Being Human: Race, Technology, and the ArtsAAS3830"
Thesis,AAS,4080,,ThesisAAS4080
